image_idx,image_id,image_name,image_short,image_width,image_height,objects_count,own_score,competitor_score,other_ad_score,total_ad_score,telecom_score,telecom_share,visual_share
15,14,Screenshot_22.png,f_015,2402.0,942.0,4,0.0011630774007970277,0.0,0.003210417331872769,0.004373494732669797,0.0011630774007970277,1.0,0.2659377618792805
16,15,Screenshot_23.png,f_016,2371.0,954.0,2,0.0031829301414263056,0.0,0.0,0.0031829301414263056,0.0031829301414263056,1.0,1.0
17,16,Screenshot_24.png,f_017,2417.0,981.0,1,0.0019549274205160117,0.0,0.0,0.0019549274205160117,0.0019549274205160117,1.0,1.0
18,17,Screenshot_25.png,f_018,2374.0,947.0,0,0.0,0.0,0.0,0.0,0.0,,
19,18,Screenshot_26.png,f_019,2448.0,942.0,1,0.0002680837210967389,0.0,0.0,0.0002680837210967389,0.0002680837210967389,1.0,1.0
20,19,Screenshot_27.png,f_020,2422.0,965.0,0,0.0,0.0,0.0,0.0,0.0,,
21,20,Screenshot_28.png,f_021,2392.0,938.0,0,0.0,0.0,0.0,0.0,0.0,,
22,21,Screenshot_29.png,f_022,2368.0,953.0,0,0.0,0.0,0.0,0.0,0.0,,
23,22,Screenshot_3.png,f_023,2451.0,988.0,0,0.0,0.0,0.0,0.0,0.0,,
24,23,Screenshot_30.png,f_024,2415.0,947.0,0,0.0,0.0,0.0,0.0,0.0,,
25,24,Screenshot_31.png,f_025,2401.0,968.0,0,0.0,0.0,0.0,0.0,0.0,,
26,25,Screenshot_32.png,f_026,2414.0,973.0,0,0.0,0.0,0.0,0.0,0.0,,
27,26,Screenshot_33.png,f_027,2385.0,926.0,0,0.0,0.0,0.0,0.0,0.0,,
28,27,Screenshot_34.png,f_028,2311.0,936.0,0,0.0,0.0,0.0,0.0,0.0,,
29,28,Screenshot_35.png,f_029,2382.0,964.0,0,0.0,0.0,0.0,0.0,0.0,,
30,29,Screenshot_36.png,f_030,2359.0,924.0,0,0.0,0.0,0.0,0.0,0.0,,
31,30,Screenshot_37.png,f_031,2318.0,902.0,2,0.011123636541967814,0.0,0.0,0.011123636541967814,0.011123636541967814,1.0,1.0
32,31,Screenshot_38.png,f_032,2437.0,956.0,2,0.003371332933486786,0.0,0.0016321043331156938,0.00500343726660248,0.003371332933486786,1.0,0.6738033783275645
33,32,Screenshot_39.png,f_033,2385.0,921.0,4,0.0,0.0015894040017179899,0.0024522092252985657,0.004041613227016556,0.0015894040017179899,0.0,0.0
34,33,Screenshot_4.png,f_034,2495.0,962.0,5,0.0009638730653130281,0.000477050209696213,0.018903967635772553,0.020344890910781795,0.001440923275009241,0.6689274037209556,0.047376664221985214
35,34,Screenshot_40.png,f_035,2363.0,973.0,3,0.0,0.0018485396860974405,0.014727546574435181,0.01657608626053262,0.0018485396860974405,0.0,0.0
36,35,Screenshot_41.png,f_036,2411.0,959.0,1,0.0,0.0,0.0007399447384513961,0.0007399447384513961,0.0,,0.0
37,36,Screenshot_42.png,f_037,2391.0,972.0,1,0.0,0.002090791050833783,0.0,0.002090791050833783,0.002090791050833783,0.0,0.0
38,37,Screenshot_43.png,f_038,2401.0,945.0,1,0.0,0.0,0.0011983775842520842,0.0011983775842520842,0.0,,0.0
39,38,Screenshot_44.png,f_039,2361.0,946.0,3,0.010641941541699684,0.0,0.0017552583573357216,0.012397199899035405,0.010641941541699684,1.0,0.8584149346924467
40,39,Screenshot_45.png,f_040,2462.0,972.0,4,0.004793370393556271,0.004351852790995469,0.0025510350739575446,0.011696258258509284,0.00914522318455174,0.524139246995449,0.40982084078632486
41,40,Screenshot_46.png,f_041,2393.0,969.0,2,0.009877379672521534,0.0,0.0,0.009877379672521534,0.009877379672521534,1.0,1.0
42,41,Screenshot_47.png,f_042,2379.0,973.0,0,0.0,0.0,0.0,0.0,0.0,,
43,42,Screenshot_48.png,f_043,2332.0,954.0,1,0.0007671903398895759,0.0,0.0,0.0007671903398895759,0.0007671903398895759,1.0,1.0
44,43,Screenshot_49.png,f_044,2389.0,970.0,1,0.005967992346382407,0.0,0.0,0.005967992346382407,0.005967992346382407,1.0,1.0
45,44,Screenshot_5.png,f_045,2449.0,984.0,2,0.0,0.001974234931717614,0.0007431451031753918,0.002717380034893006,0.001974234931717614,0.0,0.0
46,45,Screenshot_50.png,f_046,2394.0,977.0,0,0.0,0.0,0.0,0.0,0.0,,
47,46,Screenshot_51.png,f_047,2397.0,972.0,1,0.0,0.0,0.0011705754440853862,0.0011705754440853862,0.0,,0.0
48,47,Screenshot_52.png,f_048,2372.0,967.0,1,0.0,0.0,0.004044226935852549,0.004044226935852549,0.0,,0.0
49,48,Screenshot_53.png,f_049,2351.0,967.0,3,0.0002166923787469367,0.0002714167156015411,0.0002876462866717956,0.0007757553810202734,0.0004881090943484778,0.44394251460562334,0.27933080974822616
50,49,Screenshot_54.png,f_050,2361.0,967.0,6,0.0009054521126132249,0.0018737855470276083,0.0029238524449864862,0.00570309010462732,0.002779237659640833,0.32579153836388297,0.1587651774743253
51,50,Screenshot_55.png,f_051,2362.0,974.0,1,0.0,0.0017605058362706128,0.0,0.0017605058362706128,0.0017605058362706128,0.0,0.0
52,51,Screenshot_56.png,f_052,2388.0,929.0,1,0.0,0.00525092618493126,0.0,0.00525092618493126,0.00525092618493126,0.0,0.0
53,52,Screenshot_57.png,f_053,2339.0,936.0,4,0.001388556182270222,0.0,0.0,0.001388556182270222,0.001388556182270222,1.0,1.0
54,53,Screenshot_58.png,f_054,2355.0,962.0,3,0.0023908929802351573,0.0,0.0,0.0023908929802351573,0.0023908929802351573,1.0,1.0
55,54,Screenshot_59.png,f_055,2361.0,946.0,3,0.003638475030665115,0.0,0.0,0.003638475030665115,0.003638475030665115,1.0,1.0
56,55,Screenshot_6.png,f_056,2426.0,984.0,1,0.0009628440128138776,0.0,0.0,0.0009628440128138776,0.0009628440128138776,1.0,1.0
57,56,Screenshot_60.png,f_057,2297.0,938.0,1,0.002361796970288597,0.0,0.0,0.002361796970288597,0.002361796970288597,1.0,1.0
58,57,Screenshot_7.png,f_058,2409.0,937.0,1,0.0,0.0,0.0021380959608606996,0.0021380959608606996,0.0,,0.0
59,58,Screenshot_8.png,f_059,2418.0,976.0,1,0.0,0.0,0.012737747613791,0.012737747613791,0.0,,0.0
60,59,Screenshot_9.png,f_060,2419.0,975.0,0,0.0,0.0,0.0,0.0,0.0,,
